dataSeq,일자,수압계
708,2026-05-17 01:58:44,4.344
709,2026-05-17 01:58:54,4.09
710,2026-05-17 01:59:04,4.172
711,2026-05-17 01:59:14,4.155
712,2026-05-17 01:59:24,4.139
713,2026-05-17 01:59:34,4.426
714,2026-05-17 01:59:44,4.368
715,2026-05-17 01:59:54,4.344
716,2026-05-17 02:00:04,4.336
717,2026-05-17 02:00:14,4.557
718,2026-05-17 02:00:24,4.54
719,2026-05-17 02:00:34,4.532
720,2026-05-17 02:00:44,4.524
721,2026-05-17 02:00:54,4.508
722,2026-05-17 02:01:04,4.499
723,2026-05-17 02:01:14,4.491
724,2026-05-17 02:01:24,4.483
725,2026-05-17 02:01:34,4.483
726,2026-05-17 02:01:44,4.459
727,2026-05-17 02:01:54,4.45
728,2026-05-17 02:02:04,4.442
729,2026-05-17 02:02:14,4.442
730,2026-05-17 02:02:24,4.434
731,2026-05-17 02:02:34,4.426
732,2026-05-17 02:02:44,4.409
733,2026-05-17 02:02:54,4.393
734,2026-05-17 02:03:04,4.385
